Phylum,Coastal,Inland,Peatland,Global
Ascomycota,48.650145772594755,45.19279778393352,57.90663507109005,48.22452978056426
Basidiomycota,8.24927113702624,18.548060941828254,19.62654028436019,15.957993730407523
Rozellomycota,7.085276967930029,5.954432132963989,3.567772511848341,5.863753918495298
Chytridiomycota,7.468221574344024,4.708379501385042,3.358293838862559,5.226998432601881
Mortierellomycota,0.5179300291545189,4.151523545706371,2.2298578199052135,2.857014106583072
Glomeromycota,0.2588921282798834,1.8371883656509695,0.36492890995260663,1.1694749216300941
Mucoromycota,0.13221574344023324,0.5447368421052632,0.7357819905213271,0.4654388714733542
Aphelidiomycota,0.1784256559766764,0.7429362880886426,0.02085308056872038,0.4717868338557994
Blastocladiomycota,0.18979591836734694,0.5752077562326869,0.1462085308056872,0.40066614420062696
Zoopagomycota,0.13862973760932945,0.41405817174515236,0.21635071090047395,0.30732758620689654
Others,0.6956268221574344,1.3995844875346262,1.847867298578199,1.2844827586206897
Fungi_phy_Incertae_sedis,26.435568513119534,15.931094182825484,9.978909952606635,17.7705329153605
