Lat_block,area,richness
"(43,44]",2,392.5
"(36,37]",7,381
"(37,38]",11,342.9090909
"(-17,-16]",1,331
"(33,34]",6,317
"(40,41]",7,286.4285714
"(34,35]",4,279.75
"(38,39]",13,276.7692308
"(45,46]",9,276.6666667
"(35,36]",5,275
"(23,24]",3,272
"(29,30]",8,270.75
"(39,40]",8,265.375
"(28,29]",10,262.3
"(30,31]",16,251.3125
"(52,53]",3,249.3333333
"(31,32]",7,233.7142857
"(54,55]",2,215.5
"(47,48]",4,204.75
"(57,58]",2,198
"(49,50]",2,196.5
"(55,56]",2,196.5
"(32,33]",11,190
"(44,45]",1,177
"(48,49]",5,177
"(51,52]",2,174.5
"(56,57]",2,174
"(46,47]",5,172.8
"(41,42]",7,169.4285714
"(58,59]",2,153
"(19,20]",4,149.5
"(27,28]",3,140.6666667
"(21,22]",1,136
"(22,23]",4,130
"(-2,-1]",1,127
"(26,27]",3,124.3333333
"(53,54]",3,118.6666667
"(50,51]",7,117.8571429
"(25,26]",1,114
"(18,19]",1,112
"(60,61]",1,110
"(64,65]",1,107
"(42,43]",1,106
"(20,21]",3,102.6666667
"(-55,-54]",1,97
"(0,1]",1,97
"(-43,-42]",1,86
"(-38,-37]",1,81
"(5,6]",1,74
