FunB,FunBC,SOC
0.829999983,70.33898161,14.60101929
0.579999983,49.15254093,10.84640121
2.900000095,245.7627199,168.7666382
1.799999952,152.5423688,26.90066223
3.035214901,257.2216018,24.17975311
0.588331148,49.85857186,27.12727356
8.112380596,687.489881,18.27680359
0.205,17.37288136,30.76338196
9.004626667,763.1039548,25.51327209
0.610687017,51.75313703,40.58036194
0.382979006,32.45584797,14.89503479
1.16636225,98.84425847,9.09056778
0.643066742,54.49718153,80.36871338
3.430180073,290.6932265,65.04144287
3.144299984,266.4661003,72.22595215
5.754554536,487.6741132,69.8145752
1.244228008,105.4430515,74.16514282
1.554598239,131.7456135,82.83154297
3.7281,315.940678,95.93166504
5.553264143,470.6156053,64.62078857
3.571609974,302.6788114,38.64723511
14.39999962,1220.338951,18.98361053
1.548235536,131.2064014,11.79167786
1.186991417,100.592493,35.104599
0.170000002,14.40677983,17.8229248
0.25999999,22.03389746,37.92865906
4.310766667,365.3192091,16.37896881
2.118165,179.5055085,75.309729
0.672872573,57.02309941,16.83576508
0.539680004,45.73559356,114.4
23.0625,1954.449153,287.504834
5.47707,464.1584746,247.4667969
3.665816667,310.6624294,95.52505493
4.3320134,367.1197797,32.4322876
2.165648998,183.5295761,16.50171356
6.679999828,566.1016803,95.97509766
6.659999847,564.4067667,96.28081055
10.235,867.3728814,105.9294189
2.054833333,174.1384181,28.03959961
9.798525,830.3834746,108.8737549
9.439020157,799.9169625,91.02030029
15.55930042,1318.584781,71.03995972
11.63409996,985.9406746,61.1840271
11.04880047,936.3390229,43.63814392
9.670058333,819.4964689,30.37740173
2.555999994,216.610169,12.80601654
1.281999946,108.6440632,17.43616486
2.49,211.0169492,58.60085449
1.10136795,93.33626695,51.50354614
3.480000019,294.9152558,64.58961182
22.51471589,1908.02677,68.77791138
7.527696475,637.9403792,54.63151855
5.095487182,431.8209476,56.86340332
30.60000038,2593.220371,227.3911377
28.25749969,2394.703364,214.7811768
16.19553333,1372.502825,165.2289795
19.53630066,1655.6187,80.45457764
3.122227199,264.5955253,61.11409302
5.28000021,447.4576449,60.66751099
12.89554848,1092.843092,131.3117676
18.74801773,1588.815062,147.4189209
3.73324,316.3762712,139.5535889
16.7560997,1420.008449,120.621875
11.04307923,935.854172,112.1014893
1.656214833,140.3571892,49.2858551
17.83682153,1511.595045,104.312854
10.17070007,861.9237347,127.2070557
19.85790098,1682.872964,86.37963867
9.938565274,842.2512944,65.98725586
7.411687582,628.1091171,50.39058228
1.611999989,136.6101686,66.45296631
0.3269,27.70338983,65.43851929
0.736,62.37288136,60.83369141
2.49317503,211.2860195,51.74448242
1.171530008,99.28220407,90.23598022
1.93674,164.1305085,147.0978638
0.222470999,18.85347449,117.3685913
